Designator,Mid X,Mid Y,Rotation,Layer
D1,233.2725,-138.035,90.0,bottom
D15,176.2125,-100.0125,90.0,bottom
D16,195.2625,-100.0125,90.0,bottom
D17,214.3125,-100.0125,90.0,bottom
D18,176.2125,-119.0625,90.0,bottom
D19,195.2625,-119.0625,90.0,bottom
D20,214.3125,-119.0625,90.0,bottom
D21,176.2125,-138.1125,90.0,bottom
D22,195.2625,-138.1125,90.0,bottom
D23,214.3125,-138.1125,90.0,bottom
SW1,185.7375,-93.16,0.0,top
SW10,242.8875,-131.26,0.0,top
SW11,245.26875,-111.91875,180.0,top
SW2,204.7875,-93.16,0.0,top
SW3,223.8375,-93.16,0.0,top
SW4,185.7375,-112.21,0.0,top
SW5,204.7875,-112.21,0.0,top
SW6,223.8375,-112.21,0.0,top
SW7,185.7375,-131.26,0.0,top
SW8,204.7875,-131.26,0.0,top
SW9,223.8375,-131.26,0.0,top
U1,259.63,-80.7785,0.0,top
U3,178.33,-78.59,180.0,top
